name,state,iata_code,lat,long
Kodiak Municipal Airport,AK,KDK,57.8059,-152.374
False Pass Airport,AK,KFP,54.8474,-163.41
Akhiok Airport,AK,AKK,56.9387,-154.183
Kipnuk Airport,AK,KPN,59.933,-164.031
Koyuk Alfred Adams Airport,AK,KKA,64.9395,-161.154
Kulik Lake Airport,AK,LKK,58.9821,-155.121
King Salmon Airport,AK,AKN,58.6768,-156.649
Nikolski Air Station,AK,IKO,52.9416,-168.849
Anaktuvuk Pass Airport,AK,AKP,68.1336,-151.743
Ketchikan International Airport,AK,KTN,55.3556,-131.714
Ugnu-Kuparuk Airport,AK,UUK,70.3308,-149.598
Kaltag Airport,AK,KAL,64.3191,-158.741
Klawock Airport,AK,KLW,55.5792,-133.076
Karluk Airport,AK,KYK,57.5671,-154.45
Larsen Bay Airport,AK,KLN,57.5351,-153.978
Kalskag Airport,AK,KLG,61.5363,-160.341
Alpine Airstrip,AK,DQH,70.3443,-150.945
Chandalar Lake Airport,AK,WCR,67.5045,-148.483
Cape Lisburne LRRS Airport,AK,LUR,68.8751,-166.11
Manokotak Airport,AK,KMO,58.9902,-159.05
McGrath Airport,AK,MCG,62.9529,-155.606
Middleton Island Airport,AK,MDO,59.4499,-146.307
Minchumina Airport,AK,LMA,63.886,-152.302
St Michael Airport,AK,SMK,63.4901,-162.11
Manley Hot Springs Airport,AK,MLY,64.9976,-150.644
Metlakatla Seaplane Base,AK,MTM,55.131,-131.578
Mountain Village Airport,AK,MOU,62.0954,-163.682
Merrill Field,AK,MRI,61.2135,-149.844
Mc Carthy Airport,AK,MXY,61.4371,-142.904
Mekoryuk Airport,AK,MYU,60.3714,-166.271
Napakiak Airport,AK,WNA,60.6903,-161.979
Ted Stevens Anchorage International Airport,AK,ANC,61.1744,-149.996
Aniak Airport,AK,ANI,61.5816,-159.543
Nenana Municipal Airport,AK,ENN,64.5473,-149.074
Nondalton Airport,AK,NNL,59.9802,-154.839
Funter Bay Seaplane Base,AK,FNR,58.2544,-134.898
Annette Island Airport,AK,ANN,55.0424,-131.572
Nulato Airport,AK,NUL,64.7293,-158.074
Anvik Airport,AK,ANV,62.6467,-160.191
New Stuyahok Airport,AK,KNW,59.4499,-157.328
Kobuk Airport,AK,OBU,66.9123,-156.897
Portage Creek Airport,AK,PCA,58.9065,-157.714
